"Vremenska oznaka","U kojoj ste dobnoj skupini?","Spol","Koristite li Internet/Mobilno bankarstvo?","U kojoj banci koristite Internet/Mobilno Bankarstvo (mogućnost višestrukog odabira)?","Koje opcije Internet/Mobilnog bankarstva najčešće koristite (mogućnost višestrukog odabira)?","Da li ste zadovoljni Internet/Mobilnim bankarstvom koje koristite?","Koje usluge smatrate da bi Internet/Mobilno m bankarstvu koje koristite trebalo dodati?","Koje ostale FinTech servise koristite, molim navedite? (npr. Revolut)","Koje transakcije najčešće provodite putem FinTech aplikacije? (npr. kupovina, mjenjačnica, transfer novca)","Koje su po Vama prednosti, a što nedostaci FinTech aplikacija?","Osjećate li se sigurno pri korištenju Internet/Mobilnog bankarstva/FinTech aplikacija"
"2020/11/01 2:44:56 PM CET","51-55","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Virtualnu karticu","Paypal Revolut","Transfer","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/01 4:30:28 PM CET","36-40","Ž","Da","Erste Bank;Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Zahtjev i ugovaranje nenamjenskih kredita;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Otvaranje novog računa (npr. žiro računa)","","","","Da, u potpunosti sigurno"
"2020/11/01 4:59:32 PM CET","36-40","Ž","Da","Sberbank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Ugovaranje ostalih proizvoda/usluga;Zahtjev za nenamjenski kredit","Da u potpunosti","Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Ugovaranje/raskid trajnog naloga;Zahtjev za promjenom dopuštenog prekoračenja","","Kupovina","Nemogučnost probavanja  i ispitivanja kvalitete","Da, u potpunosti sigurno"
"2020/11/01 5:14:29 PM CET","36-40","Ž","Da","RBA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Oročavanje sredstava (Štednja)","Da u potpunosti","Zahtjev i ugovaranje nenamjenskih kredita;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja","Revolut","Kupovina,transfer novca","","Da, u potpunosti sigurno"
"2020/11/01 5:52:36 PM CET","31-35","Ž","Da","Erste Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Transfer novca na druge račune","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga;Zahtjev za promjenom dopuštenog prekoračenja","","Kupovina ","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
"2020/11/01 10:15:50 PM CET","31-35","Ž","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica);Oročavanje sredstava (Štednja)","Da, ali treba ga dodatno unaprijediti","Zahtjev i ugovaranje nenamjenskih kredita;Dostavu novog PIN-a za debitnu/kreditnu karticu na zahtjev;Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja;Ukidanje opunomoćenika","/","/","/","Da, u potpunosti sigurno"
"2020/11/01 10:56:25 PM CET","46-50","Ž","Da","PBZ","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Ugovaranje ostalih proizvoda/usluga","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Zahtjev za promjenom dopuštenog prekoračenja","","","","Da, u potpunosti sigurno"
"2020/11/02 7:36:55 AM CET","41-45","Ž","Da","Addiko Bank","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Virtualnu karticu","revolut","transfer novca","","Da, u potpunosti sigurno"
"2020/11/02 9:25:47 AM CET","26-30","M","Da","Neka druga banka","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune","Da, ali treba ga dodatno unaprijediti","Zahtjev za promjenom dopuštenog prekoračenja","n/a","n/a","n/a","Da, u potpunosti sigurno"
"2020/11/02 9:26:16 AM CET","31-35","Ž","Da","ZABA","Uvid u sve račune/kredite/trajne naloge/promet po računu;Plaćanje režijskih računa;Transfer novca na druge račune;Kupoprodaja strane valute (Mijenjačnica)","Da u potpunosti","Blokiranje svih kartica na zahtjev (npr. u slučaju krađe/gubitka) bez odlaska u poslovnicu banke;Ugovaranje/raskid trajnog naloga","","","","Da, ali samo koristeći Internet/Mobilno bankarstvo"
